id,realm_name,calendar_year,year_month,ym_code,incident_count,mean_mttd_hours,median_mttd_hours,mean_mttr_hours,median_mttr_hours,updated_at
Apps_2022-01,Apps,2022,Jan 2022,2022-01,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2022-02,Apps,2022,Feb 2022,2022-02,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2022-03,Apps,2022,Mar 2022,2022-03,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2022-04,Apps,2022,Apr 2022,2022-04,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2022-05,Apps,2022,May 2022,2022-05,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2022-06,Apps,2022,Jun 2022,2022-06,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2022-07,Apps,2022,Jul 2022,2022-07,1,2.0,2.0,5.58,5.58,2026-08-28 22:52:02
Apps_2022-08,Apps,2022,Aug 2022,2022-08,2,0.74,0.74,0.81,0.81,2026-08-28 22:52:02
Apps_2022-09,Apps,2022,Sep 2022,2022-09,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2022-10,Apps,2022,Oct 2022,2022-10,1,0.56,0.56,0.79,0.79,2026-08-28 22:52:02
Apps_2022-11,Apps,2022,Nov 2022,2022-11,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2022-12,Apps,2022,Dec 2022,2022-12,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2023-01,Apps,2023,Jan 2023,2023-01,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2023-02,Apps,2023,Feb 2023,2023-02,1,1.03,1.03,1.04,1.04,2026-08-28 22:52:02
Apps_2023-03,Apps,2023,Mar 2023,2023-03,1,6.91,6.91,19.9,19.9,2026-08-28 22:52:02
Apps_2023-04,Apps,2023,Apr 2023,2023-04,2,0.55,0.55,0.68,0.68,2026-08-28 22:52:02
Apps_2023-05,Apps,2023,May 2023,2023-05,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2023-06,Apps,2023,Jun 2023,2023-06,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2023-07,Apps,2023,Jul 2023,2023-07,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2023-08,Apps,2023,Aug 2023,2023-08,3,1.78,2.61,1.99,2.13,2026-08-28 22:52:02
Apps_2023-09,Apps,2023,Sep 2023,2023-09,2,0.86,0.86,2.51,2.51,2026-08-28 22:52:02
Apps_2023-10,Apps,2023,Oct 2023,2023-10,2,6.47,6.47,18.68,18.68,2026-08-28 22:52:02
Apps_2023-11,Apps,2023,Nov 2023,2023-11,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2023-12,Apps,2023,Dec 2023,2023-12,1,6.67,6.67,5.0,5.0,2026-08-28 22:52:02
Apps_2024-01,Apps,2024,Jan 2024,2024-01,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2024-02,Apps,2024,Feb 2024,2024-02,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2024-03,Apps,2024,Mar 2024,2024-03,1,0.53,0.53,0.62,0.62,2026-08-28 22:52:02
Apps_2024-04,Apps,2024,Apr 2024,2024-04,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2024-05,Apps,2024,May 2024,2024-05,1,120.15,120.15,120.21,120.21,2026-08-28 22:52:02
Apps_2024-06,Apps,2024,Jun 2024,2024-06,1,41.83,41.83,46.33,46.33,2026-08-28 22:52:02
Apps_2024-07,Apps,2024,Jul 2024,2024-07,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2024-08,Apps,2024,Aug 2024,2024-08,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2024-09,Apps,2024,Sep 2024,2024-09,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2024-10,Apps,2024,Oct 2024,2024-10,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2024-11,Apps,2024,Nov 2024,2024-11,1,9.48,9.48,11.77,11.77,2026-08-28 22:52:02
Apps_2024-12,Apps,2024,Dec 2024,2024-12,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2025-01,Apps,2025,Jan 2025,2025-01,1,0.92,0.92,1.15,1.15,2026-08-28 22:52:02
Apps_2025-02,Apps,2025,Feb 2025,2025-02,3,0.34,0.12,0.76,0.33,2026-08-28 22:52:02
Apps_2025-03,Apps,2025,Mar 2025,2025-03,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2025-04,Apps,2025,Apr 2025,2025-04,1,1.0,1.0,1.67,1.67,2026-08-28 22:52:02
Apps_2025-05,Apps,2025,May 2025,2025-05,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2025-06,Apps,2025,Jun 2025,2025-06,1,6.48,6.48,7.07,7.07,2026-08-28 22:52:02
Apps_2025-07,Apps,2025,Jul 2025,2025-07,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2025-08,Apps,2025,Aug 2025,2025-08,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2025-09,Apps,2025,Sep 2025,2025-09,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2025-10,Apps,2025,Oct 2025,2025-10,1,0.58,0.58,0.73,0.73,2026-08-28 22:52:02
Apps_2025-11,Apps,2025,Nov 2025,2025-11,1,6.6,6.6,6.6,6.6,2026-08-28 22:52:02
Apps_2025-12,Apps,2025,Dec 2025,2025-12,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
Apps_2026-01,Apps,2026,Jan 2026,2026-01,1,0.2,0.2,0.33,0.33,2026-08-28 22:52:02
Apps_2026-02,Apps,2026,Feb 2026,2026-02,0,0.0,0.0,0.0,0.0,2026-08-28 22:52:02
